date,petrol_sales_L,petrol_evap_L,super_petrol_sales_L,super_petrol_evap_L,diesel_sales_L,diesel_evap_L,super_diesel_sales_L,super_diesel_evap_L,total_sales_L,total_evap_L
2025-04-01,2356.843,2.0155,150.569,0.1472,4100.821,0.3131,41.539,0.0028,6649.772,2.4786
2025-04-02,2213.42,1.8929,101.392,0.0991,2890.9,0.2207,95.321,0.0064,5301.033,2.2191
2025-04-03,2430.432,2.0785,95.852,0.0937,2170.393,0.1657,136.879,0.0092,4833.556,2.3471
2025-04-04,2300.022,1.9669,90.848,0.0888,2836.253,0.2166,30.212,0.002,5257.335,2.2743
2025-04-05,3132.529,2.6789,84.213,0.0823,2721.611,0.2078,0.0,0.0,5938.353,2.969
2025-04-06,2656.792,2.272,34.425,0.0336,1958.916,0.1496,0.0,0.0,4650.133,2.4552
2025-04-07,2554.212,2.1843,84.488,0.0826,3279.466,0.2504,48.34,0.0032,5966.506,2.5205
2025-04-08,2499.68,2.1377,75.447,0.0737,2911.719,0.2223,35.211,0.0024,5522.057,2.4361
2025-04-09,2488.637,2.1282,67.58,0.066,3344.498,0.2554,116.411,0.0078,6017.126,2.4574
2025-04-10,2798.959,2.3936,35.567,0.0348,2236.741,0.1708,188.64,0.0127,5259.907,2.6119
2025-04-11,3982.427,3.4057,58.23,0.0569,2703.796,0.2065,145.021,0.0097,6889.474,3.6788
2025-04-12,4277.234,3.6578,122.3,0.1195,2017.646,0.1541,200.452,0.0135,6617.632,3.9449
2025-04-13,3478.327,2.9746,90.475,0.0884,1717.945,0.1312,74.025,0.005,5360.772,3.1992
2025-04-14,1248.194,1.0674,198.062,0.1936,622.537,0.0475,128.073,0.0086,2196.866,1.3171
2025-04-15,2373.924,2.0301,88.281,0.0863,1602.459,0.1224,182.412,0.0123,4247.076,2.2511
2025-04-16,2346.913,2.007,124.636,0.1218,1426.237,0.1089,47.738,0.0032,3945.524,2.2409
2025-04-17,2550.524,2.1812,110.747,0.1082,1890.979,0.1444,277.33,0.0186,4829.58,2.4524
2025-04-18,2757.123,2.3579,62.883,0.0615,1691.665,0.1292,75.528,0.0051,4587.199,2.5537
2025-04-19,2438.143,2.0851,30.76,0.0301,1723.194,0.1316,154.698,0.0104,4346.795,2.2572
2025-04-20,2419.292,2.0689,166.513,0.1627,1900.098,0.1451,96.13,0.0065,4582.033,2.3832
2025-04-21,2250.873,1.9249,16.7,0.0163,2108.345,0.161,298.251,0.02,4674.169,2.1222
2025-04-22,2277.718,1.9479,91.418,0.0893,2338.634,0.1786,45.923,0.0031,4753.693,2.2189
2025-04-23,2418.338,2.0681,80.885,0.0791,3031.81,0.2315,135.044,0.0091,5666.077,2.3878
2025-04-24,2303.824,1.9702,110.379,0.1079,2747.057,0.2098,75.529,0.0051,5236.789,2.293
2025-04-25,2315.68,1.9803,79.437,0.0776,2666.532,0.2036,151.057,0.0101,5212.706,2.2716
2025-04-26,2704.146,2.3125,26.17,0.0256,2178.681,0.1664,199.547,0.0134,5108.544,2.5179
2025-04-27,2423.453,2.0725,101.338,0.099,1575.374,0.1203,152.084,0.0102,4252.249,2.302
2025-04-28,2461.05,2.1047,129.92,0.127,2952.417,0.2254,115.239,0.0077,5658.626,2.4648
2025-04-29,2280.172,1.95,63.711,0.0623,2446.73,0.1868,179.848,0.0121,4970.461,2.2112
2025-04-30,2404.365,2.0562,67.032,0.0655,2655.859,0.2028,66.466,0.0045,5193.722,2.329
2025-05-01,2517.46,1.9439,19.499,0.0172,2762.072,0.1904,50.77,0.0031,5349.801,2.1546
2025-05-02,2358.962,1.8215,137.221,0.1211,2404.482,0.1658,66.455,0.004,4967.12,2.1124
2025-05-03,2866.423,2.2134,16.129,0.0142,2851.389,0.1966,124.017,0.0075,5857.958,2.4317
2025-05-04,2285.264,1.7646,138.552,0.1223,1784.284,0.123,102.157,0.0062,4310.257,2.0161
2025-05-05,2515.837,1.9427,110.258,0.0973,2083.953,0.1437,189.847,0.0115,4899.895,2.1952
2025-05-06,2296.946,1.7736,10.411,0.0092,1910.367,0.1317,76.924,0.0047,4294.648,1.9192
2025-05-07,1954.274,1.509,71.325,0.0629,2655.077,0.1831,170.922,0.0104,4851.598,1.7654
2025-05-08,1971.934,1.5227,89.542,0.079,2610.604,0.18,50.791,0.0031,4722.871,1.7848
2025-05-09,2421.277,1.8696,62.611,0.0553,2389.956,0.1648,232.956,0.0141,5106.8,2.1038
2025-05-10,2751.733,2.1248,151.772,0.1339,2532.507,0.1746,9.231,0.0006,5445.243,2.4339
2025-05-11,3140.862,2.4253,10.264,0.0091,1952.165,0.1346,176.94,0.0107,5280.231,2.5797
2025-05-12,4242.094,3.2756,120.888,0.1067,2220.967,0.1531,314.83,0.0191,6898.779,3.5545
2025-05-13,2897.352,2.2373,48.224,0.0426,2548.521,0.1757,55.385,0.0034,5549.482,2.459
2025-05-14,2598.077,2.0062,121.666,0.1074,2954.18,0.2037,143.076,0.0087,5816.999,2.326
2025-05-15,2379.234,1.8372,80.653,0.0712,2920.89,0.2014,66.155,0.004,5446.932,2.1138
2025-05-16,2596.872,2.0052,78.394,0.0692,2393.853,0.165,102.371,0.0062,5171.49,2.2456
2025-05-17,2215.262,1.7106,150.742,0.133,2052.781,0.1415,193.855,0.0118,4612.64,1.9969
2025-05-18,2523.875,1.9489,85.839,0.0758,1975.42,0.1362,164.862,0.01,4749.996,2.1709
2025-05-19,2493.946,1.9258,101.525,0.0896,2313.575,0.1595,86.725,0.0053,4995.771,2.1802
2025-05-20,2215.384,1.7107,101.176,0.0893,2207.172,0.1522,82.461,0.005,4606.193,1.9572
2025-05-21,2404.992,1.8571,49.861,0.044,2800.059,0.193,129.695,0.0079,5384.607,2.102
2025-05-22,2344.626,1.8105,29.478,0.026,1982.637,0.1367,163.012,0.0099,4519.753,1.9831
2025-05-23,2364.188,1.8256,12.898,0.0114,2384.44,0.1644,167.927,0.0102,4929.453,2.0116
2025-05-24,2706.524,2.0899,155.428,0.1372,2402.147,0.1656,104.615,0.0063,5368.714,2.399
2025-05-25,2456.745,1.897,0.0,0.0,1683.203,0.116,113.849,0.0069,4253.797,2.0199
2025-05-26,2119.499,1.6366,67.158,0.0593,2297.349,0.1584,6.154,0.0004,4490.16,1.8547
2025-05-27,2217.956,1.7126,91.1,0.0804,2605.679,0.1796,100.12,0.0061,5014.855,1.9787
2025-05-28,2433.172,1.8788,88.039,0.0777,1972.433,0.136,0.0,0.0,4493.644,2.0925
2025-05-29,2277.016,1.7582,79.478,0.0701,1843.756,0.1271,0.0,0.0,4200.25,1.9554
2025-05-30,2101.663,1.6228,10.264,0.0091,2309.3,0.1592,0.0,0.0,4421.227,1.7911
2025-05-31,2601.463,2.0088,75.368,0.0665,1576.005,0.1087,0.0,0.0,4252.836,2.184
2025-06-01,2601.161,1.7915,57.79,0.0455,2677.241,0.1646,0.0,0.0,5336.192,2.0016
2025-06-02,2850.294,1.9631,83.418,0.0657,2339.152,0.1438,0.0,0.0,5272.864,2.1726
2025-06-03,2273.842,1.566,143.993,0.1133,2417.655,0.1487,0.0,0.0,4835.49,1.828
2025-06-04,2355.238,1.6221,71.202,0.056,2899.03,0.1783,114.927,0.0062,5440.397,1.8626
2025-06-05,2257.032,1.5545,136.805,0.1077,3253.252,0.2001,76.924,0.0042,5724.013,1.8665
2025-06-06,2386.573,1.6437,0.0,0.0,2832.646,0.1742,0.0,0.0,5219.219,1.8179
2025-06-07,2823.606,1.9447,0.0,0.0,3420.675,0.2103,378.813,0.0205,6623.094,2.1755
2025-06-08,2674.583,1.842,0.0,0.0,2672.275,0.1643,262.921,0.0142,5609.779,2.0205
2025-06-09,3338.012,2.299,0.0,0.0,3099.223,0.1906,257.915,0.014,6695.15,2.5036
2025-06-10,4620.79,3.1824,0.0,0.0,2995.162,0.1842,241.547,0.0131,7857.499,3.3797
2025-06-11,2854.82,1.9662,0.0,0.0,3254.331,0.2001,76.924,0.0042,6186.075,2.1705
2025-06-12,2662.357,1.8336,0.0,0.0,3319.259,0.2041,83.692,0.0045,6065.308,2.0422
2025-06-13,2511.109,1.7295,0.0,0.0,2666.499,0.164,197.513,0.0107,5375.121,1.9042
2025-06-14,2320.648,1.5983,0.0,0.0,2174.367,0.1337,53.852,0.0029,4548.867,1.7349
2025-06-15,2766.74,1.9055,0.0,0.0,2449.8,0.1506,126.161,0.0068,5342.701,2.0629
2025-06-16,2349.384,1.6181,0.0,0.0,2313.76,0.1423,190.004,0.0103,4853.148,1.7707
2025-06-17,2521.236,1.7364,0.0,0.0,3429.745,0.2109,79.517,0.0043,6030.498,1.9516
2025-06-18,3392.22,2.3363,0.0,0.0,5039.263,0.3099,269.678,0.0146,8701.161,2.6608
2025-06-19,2571.017,1.7707,0.0,0.0,4229.402,0.2601,79.39,0.0043,6879.809,2.0351
2025-06-20,2507.213,1.7268,0.0,0.0,3033.573,0.1865,301.825,0.0163,5842.611,1.9296
2025-06-21,2882.798,1.9854,0.0,0.0,2859.264,0.1758,216.243,0.0117,5958.305,2.1729
2025-06-22,2973.684,2.048,0.0,0.0,3174.246,0.1952,157.769,0.0085,6305.699,2.2517
2025-06-23,4273.675,2.9434,0.0,0.0,7690.697,0.4729,544.62,0.0295,12508.992,3.4458
2025-06-24,6323.281,4.355,0.0,0.0,8985.51,0.5525,233.075,0.0126,15541.866,4.9201
2025-06-25,3548.043,2.4436,0.0,0.0,4949.642,0.3044,325.539,0.0176,8823.224,2.7656
2025-06-26,2032.726,1.4,0.0,0.0,2452.38,0.1508,23.075,0.0012,4508.181,1.552
2025-06-27,1844.862,1.2706,145.381,0.1144,2697.683,0.1659,290.777,0.0157,4978.703,1.5666
2025-06-28,2406.605,1.6575,83.728,0.0659,2147.965,0.1321,173.538,0.0094,4811.836,1.8649
2025-06-29,2307.547,1.5893,165.568,0.1303,2387.902,0.1468,80.616,0.0044,4941.633,1.8708
2025-06-30,1929.363,1.3288,197.799,0.1557,2395.987,0.1473,123.852,0.0067,4647.001,1.6385
2025-07-01,2218.896,1.4838,0.0,0.0,2472.361,0.1476,104.31,0.0055,4795.567,1.6369
2025-07-02,1995.284,1.3343,122.06,0.0933,2550.364,0.1523,154.768,0.0081,4822.476,1.588
2025-07-03,2118.129,1.4165,99.125,0.0758,3273.072,0.1954,49.385,0.0026,5539.711,1.6903
2025-07-04,2187.681,1.463,197.799,0.1512,3398.189,0.2029,136.001,0.0071,5919.67,1.8242
2025-07-05,2444.393,1.6346,45.883,0.0351,2813.872,0.168,112.889,0.0059,5417.037,1.8436
2025-07-06,2338.793,1.564,146.155,0.1117,1810.137,0.1081,201.922,0.0106,4497.007,1.7944
