date,temp_max_c,temp_min_c,temp_mean_c,precip_mm,humidity_max,humidity_min,wind_max_kmh,wind_mean_kmh,et0_mm,solar_mj,vpd_kpa,temp_range_c,is_hot_day,is_very_hot,humidity_mean,humidity_range,is_dry_day,is_humid_day,is_rainy_day,is_heavy_rain,no_rain,is_windy,evap_risk
2025-04-01,33.1,23.0,27.4,4.3,97,47,13.9,5.8,4.67,21.64,2.67,10.100000000000001,1,0,72.0,50,0,1,0,0,0,0,22.21
2025-04-02,33.4,24.0,26.6,9.7,99,56,11.1,4.1,3.76,18.23,2.27,9.399999999999999,1,0,77.5,43,0,1,1,0,0,0,19.54
2025-04-03,31.0,23.5,25.7,16.4,99,68,12.0,4.2,3.61,18.17,1.43,7.5,0,0,83.5,31,0,1,1,0,0,0,17.105
2025-04-04,30.7,23.2,25.0,28.8,100,69,19.7,5.0,3.01,15.44,1.39,7.5,0,0,84.5,31,0,1,1,1,0,0,16.675
2025-04-05,30.8,22.6,25.8,14.6,99,70,12.8,6.6,3.65,18.58,1.32,8.2,0,0,84.5,29,0,1,1,0,0,0,17.395
2025-04-06,31.1,22.9,25.9,9.9,99,70,12.6,8.4,4.3,22.06,1.36,8.200000000000003,0,0,84.5,29,0,1,1,0,0,0,17.885
2025-04-07,30.5,23.7,25.8,13.0,99,69,15.8,8.5,3.67,18.26,1.33,6.800000000000001,0,0,84.0,30,0,1,1,0,0,0,18.045
2025-04-08,31.8,22.9,27.0,0.8,99,59,12.9,5.3,4.96,23.73,1.9,8.900000000000002,0,0,79.0,40,0,1,0,0,0,0,19.475
2025-04-09,30.7,22.9,26.2,3.7,99,67,17.3,9.8,3.91,19.34,1.37,7.800000000000001,0,0,83.0,32,0,1,0,0,0,0,18.88
2025-04-10,28.2,23.5,25.0,8.6,98,78,19.6,13.3,2.81,14.94,0.81,4.699999999999999,0,0,88.0,20,0,1,1,0,0,0,17.525
2025-04-11,28.0,23.5,25.4,1.1,97,79,20.1,16.2,3.02,15.36,0.77,4.5,0,0,88.0,18,0,1,0,0,0,1,18.41
2025-04-12,30.5,23.8,26.3,4.9,97,68,19.9,13.5,4.26,21.79,1.36,6.699999999999999,0,0,82.5,29,0,1,0,0,0,0,20.02
2025-04-13,30.1,24.0,26.8,1.9,96,73,16.1,11.8,4.31,21.91,1.11,6.100000000000001,0,0,84.5,23,0,1,0,0,0,0,19.095
2025-04-14,31.8,24.4,27.2,3.2,98,64,13.4,8.3,4.24,20.58,1.67,7.400000000000002,0,0,81.0,34,0,1,0,0,0,0,19.605
2025-04-15,32.3,23.7,26.7,3.0,98,64,16.7,6.4,4.6,22.25,1.7,8.599999999999998,0,0,81.0,34,0,1,0,0,0,0,18.93
2025-04-16,32.2,23.8,27.4,1.5,97,63,10.9,5.9,4.84,23.4,1.76,8.400000000000002,0,0,80.0,34,0,1,0,0,0,0,19.435
2025-04-17,32.5,23.8,27.9,0.3,99,61,15.6,8.0,4.87,22.64,1.8,8.7,0,0,80.0,38,0,1,0,0,0,0,20.16
2025-04-18,32.6,24.4,27.9,1.4,96,56,18.6,11.6,5.17,23.44,2.15,8.200000000000003,0,0,76.0,40,0,1,0,0,0,0,22.46
2025-04-19,32.3,24.6,27.9,2.5,93,62,18.1,12.7,4.88,22.67,1.86,7.699999999999996,0,0,77.5,31,0,1,0,0,0,0,22.21
