date,temp_max_c,temp_min_c,temp_mean_c,precip_mm,humidity_max,humidity_min,wind_max_kmh,wind_mean_kmh,et0_mm,solar_mj,vpd_kpa,temp_range_c,is_hot_day,is_very_hot,humidity_mean,humidity_range,is_dry_day,is_humid_day,is_rainy_day,is_heavy_rain,no_rain,is_windy,evap_risk
2026-02-01,30.0,23.2,25.5,2.8,97,69,18.5,13.3,3.77,19.48,1.31,6.800000000000001,0,0,83.0,28,0,1,0,0,0,0,19.475
2026-02-02,29.7,23.6,25.8,1.6,98,68,21.4,17.3,4.03,20.01,1.34,6.099999999999998,0,0,83.0,30,0,1,0,0,0,1,20.595
2026-02-03,30.0,22.8,25.9,0.1,96,59,19.3,15.0,4.37,20.2,1.75,7.199999999999999,0,0,77.5,37,0,1,0,0,0,0,21.985
2026-02-04,29.8,22.9,25.9,2.1,91,61,22.8,17.3,4.44,20.86,1.6,6.900000000000002,0,0,76.0,30,0,1,0,0,0,1,23.085
2026-02-05,30.2,22.9,25.8,0.8,94,60,19.7,13.9,4.24,19.82,1.74,7.300000000000001,0,0,77.0,34,0,1,0,0,0,0,21.845
2026-02-06,29.1,23.0,25.0,20.3,96,65,23.9,16.7,3.09,14.67,1.4,6.100000000000001,0,0,80.5,31,0,1,1,1,0,1,21.0
2026-02-07,30.0,23.0,25.9,0.9,96,64,19.6,15.3,4.35,20.34,1.54,7.0,0,0,80.0,32,0,1,0,0,0,0,21.185
2026-02-08,30.0,22.6,25.7,0.0,89,53,24.4,17.9,5.07,21.57,2.01,7.399999999999999,0,0,71.0,36,0,1,0,0,1,1,24.905
2026-02-09,29.5,20.5,24.8,0.0,95,52,22.5,15.7,5.19,23.78,1.98,9.0,0,0,73.5,43,0,1,0,0,1,1,23.12
2026-02-10,29.6,20.1,24.4,0.0,94,48,20.8,14.5,5.28,23.78,2.15,9.5,0,0,71.0,46,0,1,0,0,1,1,23.535
2026-02-11,30.4,20.0,25.2,0.0,91,46,21.8,15.2,5.13,21.1,2.33,10.399999999999999,0,0,68.5,45,0,1,0,0,1,1,24.905
2026-02-12,30.3,21.1,25.0,1.2,95,58,20.4,14.5,3.88,17.95,1.83,9.2,0,0,76.5,37,0,1,0,0,0,1,21.85
2026-02-13,31.0,23.1,26.3,0.5,96,58,24.3,16.8,4.54,19.89,1.9,7.899999999999999,0,0,77.0,38,0,1,0,0,0,1,22.77
2026-02-14,30.0,23.5,25.4,11.5,95,63,22.1,14.9,3.44,17.1,1.57,6.5,0,0,79.0,32,0,1,1,0,0,1,21.235
2026-02-15,29.2,22.8,25.5,0.0,92,60,20.7,14.4,3.37,13.34,1.64,6.399999999999999,0,0,76.0,32,0,1,0,0,1,1,22.2
2026-02-16,30.6,21.7,25.8,0.0,96,54,22.4,15.6,5.14,23.16,2.01,8.900000000000002,0,0,75.0,42,0,1,0,0,1,1,22.97
2026-02-17,28.3,21.7,24.7,0.4,93,63,18.1,12.3,2.71,11.14,1.41,6.600000000000001,0,0,78.0,30,0,1,0,0,0,0,20.655
2026-02-18,25.4,23.1,24.1,6.2,97,86,18.6,14.9,1.47,7.5,0.44,2.299999999999997,0,0,91.5,11,0,1,1,0,0,0,16.34
2026-02-19,30.7,23.1,26.1,0.5,97,61,22.2,16.8,4.43,20.37,1.72,7.599999999999998,0,0,79.0,36,0,1,0,0,0,1,21.99
2026-02-20,30.4,23.5,26.0,2.6,94,67,20.1,15.7,3.68,17.15,1.42,6.899999999999999,0,0,80.5,27,0,1,0,0,0,1,21.15
2026-02-21,29.9,23.3,24.9,27.0,99,67,13.7,8.2,2.45,12.69,1.38,6.599999999999998,0,0,83.0,32,0,1,1,1,0,0,17.96
2026-02-22,29.1,22.9,25.2,22.1,100,73,17.3,7.0,2.57,12.85,1.09,6.200000000000003,0,0,86.5,27,0,1,1,1,0,0,16.555
2026-02-23,30.4,22.4,26.0,1.6,100,64,14.3,6.7,4.15,20.48,1.55,8.0,0,0,82.0,36,0,1,0,0,0,0,18.375
2026-02-24,31.3,23.0,26.6,0.0,98,52,11.8,9.2,4.99,23.73,2.18,8.3,0,0,75.0,46,0,1,0,0,1,0,21.69
2026-02-25,31.5,22.0,26.5,0.0,97,51,10.8,7.6,5.16,24.54,2.26,9.5,0,0,74.0,46,0,1,0,0,1,0,21.6
2026-02-26,31.9,22.7,26.9,0.0,100,48,11.1,5.7,5.07,23.76,2.45,9.2,0,0,74.0,52,0,1,0,0,1,0,21.285
2026-02-27,32.8,21.6,26.8,0.0,97,41,11.1,6.0,5.18,23.7,2.92,11.199999999999996,0,0,69.0,56,0,1,0,0,1,0,23.07
2026-02-28,33.5,22.1,27.1,0.0,98,30,15.3,6.0,5.43,24.12,3.61,11.399999999999999,1,0,64.0,68,1,1,0,0,1,0,24.94
2026-03-01,32.8,21.8,26.7,0.0,100,31,16.5,7.6,5.92,25.56,3.41,10.999999999999996,0,0,65.5,69,1,1,0,0,1,0,24.655
2026-03-02,33.3,19.0,25.9,0.0,96,28,15.4,8.2,6.13,26.56,3.7,14.299999999999997,1,0,62.0,68,1,1,0,0,1,0,25.71
2026-03-03,33.3,18.3,25.5,0.3,90,34,17.0,6.7,5.29,23.88,3.4,14.999999999999996,1,0,62.0,56,1,1,0,0,0,0,25.175
2026-03-04,32.7,21.6,26.5,2.1,94,46,15.7,6.1,4.52,20.38,2.67,11.100000000000001,0,0,70.0,48,0,1,0,0,0,0,22.625
